OTUID,genotype,provider
C87,Afghani1,SensiSeeds
C77,ArjansHaze3,GreenHouseSeedCo.
C65,Beniko,CRI
C54,Bredemann,IPK
C8,Carmagnola,HanfamaGmbH
C28,Cinepa,IPK
C41,ElettaCampana,IPK
C59,Fasamo,IPK
C1,Fedora17,HanflandGmbH
C73,Felina32,HanfamaGmbH
C72,Ferimon,HanfamaGmbH
C44,Fibridia,IPK
C37,Fibrimon,IPK
C67,Finola,CRI
C74,Futura75,HanfamaGmbH
C47,Havellander,IPK
C86,HinduKush,SensiSeeds
C36,HohenthurmerG.R.,IPK
C62,Kompolti,IPK
C38,Krasnoyarskaya,IPK
C58,Lovrin110,IPK
C91,MasterKush,SensiSeeds
C90,MexicanSativa,SensiSeeds
C43,NAArgentina,IPK
C34,NABGBelgium,IPK
C32,NABGChina,IPK
C11,NABGHungary,IPK
C33,NABGItaly,IPK
C15,NABGRomania,IPK
C30,NAFrance,IPK
C49,NASyria,IPK
C56,NATurkey,IPK
C75,Orion33,HanfamaGmbH
C70,Purini,LVMISilava
C55,Ramo,IPK
C89,RuderalisIndica,SensiSeeds
C16,RVGeorgia86,IPK
C18,RVItaly84,IPK
C13,RVItaly88,IPK
C17,RVKorea87,IPK
C10,RVSlovakia77,IPK
C9,Santhica27,HanfamaGmbH
C52,Schurig,IPK
C2,SilvanaxManitobaP.,KFUBotanicalGarden
C88,Skunk1,SensiSeeds
C76,TheChurchCBD,GreenHouseSeedCo.
