sample_name;genotype;tissue;metabc;time_stamp;chemotype;accession;provider
01AR;Fedora 17;Radicle;M;04.05.21;LC;;Hanfland
01AS;Fedora 17;Shoot;M;04.05.21;LC;;Hanfland
01BR;Fedora 17;Radicle;M;02.03.22;LC;;Hanfland
01BS;Fedora 17;Shoot;M;02.03.22;LC;;Hanfland
02AR;Silvana x Manitoba P.;Radicle;M;29.03.21;THC-rich;;KFU Botanical Garden
02AS;Silvana x Manitoba P.;Shoot;M;29.03.21;THC-rich;;KFU Botanical Garden
04AR;Dolnoslaskie;Radicle;;05.11.21;LC;166502;Plant Breeding and Acclimatization Institute
04AS;Dolnoslaskie;Shoot;;05.11.21;LC;166502;Plant Breeding and Acclimatization Institute
06AR;NA Poland;Radicle;;04.06.21;;166504;Plant Breeding and Acclimatization Institute
06AS;NA Poland;Shoot;;04.06.21;;166504;Plant Breeding and Acclimatization Institute
07AR;Litzap 12 119;Radicle;;14.07.21;;166507;Plant Breeding and Acclimatization Institute
07BR;Litzap 12 119;Radicle;;26.11.21;;166507;Plant Breeding and Acclimatization Institute
07BS;Litzap 12 119;Shoot;;26.11.21;;166507;Plant Breeding and Acclimatization Institute
07CR;Litzap 12 119;Radicle;;01.12.21;;166507;Plant Breeding and Acclimatization Institute
07CS;Litzap 12 119;Shoot;;01.12.21;;166507;Plant Breeding and Acclimatization Institute
08AR;Carmagnola;Radicle;M;30.04.21;LC;;Hanfama
08AS;Carmagnola;Shoot;M;30.04.21;LC;;Hanfama
08BR;Carmagnola;Radicle;M;23.11.21;LC;;Hanfama
08BS;Carmagnola;Shoot;M;23.11.21;LC;;Hanfama
09AR;Santhica 27;Radicle;M;15.07.21;LC;;Hanfama
09AS;Santhica 27;Shoot;M;15.07.21;LC;;Hanfama
09BR;Santhica 27;Radicle;M;27.07.21;LC;;Hanfama
09BS;Santhica 27;Shoot;M;27.07.21;LC;;Hanfama
09CR;Santhica 27;Radicle;M;23.11.21;LC;;Hanfama
09CS;Santhica 27;Shoot;M;23.11.21;LC;;Hanfama
10AR;RV Slovakia 77;Radicle;M;01.04.21;LC;CAN 16;IPK
10AS;RV Slovakia 77;Shoot;M;01.04.21;LC;CAN 16;IPK
11AR;NA BG Hungary;Radicle;M;07.04.21;LC;CAN 17;IPK
11AS;NA BG Hungary;Shoot;M;07.04.21;LC;CAN 17;IPK
13AR;RV Italy 88;Radicle;M;15.11.21;LC;CAN 19;IPK
13AS;RV Italy 88;Shoot;M;15.11.21;LC;CAN 19;IPK
14AR;RV Korea 85;Radicle;;31.05.21;;CAN 20;IPK
14AS;RV Korea 85;Shoot;;31.05.21;;CAN 20;IPK
16AR;RV Georgia 86;Radicle;M;14.05.21;LC;CAN 22;IPK
16AS;RV Georgia 86;Shoot;M;14.05.21;LC;CAN 22;IPK
17AR;RV Korea 87;Radicle;M;14.05.21;LC;CAN 23;IPK
17BR;RV Korea 87;Radicle;M;20.07.21;LC;CAN 23;IPK
17BS;RV Korea 87;Shoot;M;20.07.21;LC;CAN 23;IPK
17CR;RV Korea 87;Radicle;M;30.11.21;LC;CAN 23;IPK
17CS;RV Korea 87;Shoot;M;30.11.21;LC;CAN 23;IPK
18AR;RV Italy 84;Radicle;M;18.05.21;LC;CAN 24;IPK
18AS;RV Italy 84;Shoot;M;18.05.21;LC;CAN 24;IPK
18BR;RV Italy 84;Radicle;M;14.06.21;LC;CAN 24;IPK
18BS;RV Italy 84;Shoot;M;14.06.21;LC;CAN 24;IPK
19AR;NS Turkey;Radicle;;07.06.21;;CAN 26;IPK
19AS;NS Turkey;Shoot;;07.06.21;;CAN 26;IPK
20AR;NA Hungary;Radicle;;07.06.21;;CAN 27;IPK
20AS;NA Hungary;Shoot;;07.06.21;;CAN 27;IPK
20BR;NA Hungary;Radicle;;20.07.21;;CAN 27;IPK
20CS;NA Hungary;Shoot;;27.07.21;;CAN 27;IPK
21AR;Forose;Radicle;;22.04.21;;CAN 28;IPK
21AS;Forose;Shoot;;22.04.21;;CAN 28;IPK
24AR;Cunepa;Radicle;;22.06.21;;CAN 31;IPK
24AS;Cunepa;Shoot;;22.06.21;;CAN 31;IPK
26AR;Cinepa1;Radicle;;10.12.21;;CAN 33;IPK
26AS;Cinepa1;Shoot;;10.12.21;;CAN 33;IPK
27AR;Cinepa2;Radicle;;26.11.21;;CAN 34;IPK
27AS;Cinepa2;Shoot;;26.11.21;;CAN 34;IPK
28AR;Cinepa;Radicle;M;29.11.21;;CAN 35;IPK
28AS;Cinepa;Shoot;M;29.11.21;;CAN 35;IPK
29AR;NA Germany;Radicle;;02.12.21;;CAN 36;IPK
30AR;NA France;Radicle;M;20.07.21;;CAN 37;IPK
30AS;NA France;Shoot;M;20.07.21;;CAN 37;IPK
31AR;Cinepa3;Radicle;;29.11.21;;CAN 38;IPK
31BS;Cinepa3;Shoot;;06.12.21;;CAN 38;IPK
32AR;NA BG China;Radicle;M;19.07.21;;CAN 39;IPK
32AS;NA BG China;Shoot;M;19.07.21;;CAN 39;IPK
33AS;NA BG Italy;Shoot;M;07.12.21;;CAN 40;IPK
37AR;Fibrimon;Radicle;M;26.07.21;LC;CAN 44;IPK
37AS;Fibrimon;Shoot;M;26.07.21;LC;CAN 44;IPK
37BR;Fibrimon;Radicle;M;07.12.21;LC;CAN 44;IPK
37BS;Fibrimon;Shoot;M;07.12.21;LC;CAN 44;IPK
38AR;Krasnoyarskaya;Radicle;M;04.08.21;LC;CAN 45;IPK
