Domain,Phylum,Class,Order,Family,Genus,best_hit
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 1:Pseudomonas
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 2:Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 3:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,ASV 4:Stenotrophomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,ASV 5:Stenotrophomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 6:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 7:Pantoea
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,ASV 8:Brevundimonas
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 9:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 10:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 11:Pantoea
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,ASV 12:Rhizobium
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,ASV 13:Brevundimonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 14:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 15:Pantoea
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,ASV 16:Curtobacterium
