src,degree,recovered,Cultured,Uncultured
9755,2,False,0.5,0.5
9731,3,False,0.333333333333333,0.666666666666667
9697,1,False,0,1
9659,6,False,0,1
9575,1,False,0,1
9517,3,False,0.333333333333333,0.666666666666667
9369,1,False,0,1
9341,2,False,0,1
9333,1,False,0,1
9311,2,False,0,1
9289,4,False,0,1
9123,8,False,0,1
9113,1,False,0,1
9105,2,False,0,1
8839,3,False,0.666666666666667,0.333333333333333
8807,2,False,0,1
8783,7,False,0.142857142857143,0.857142857142857
8763,2,False,0.5,0.5
8655,2,True,0,1
8619,1,True,0,1
8597,2,True,0.5,0.5
8459,2,False,0,1
8423,6,False,0.166666666666667,0.833333333333333
8375,1,True,0,1
8315,2,False,0,1
8289,1,True,1,0
8249,4,False,0.5,0.5
8199,1,True,1,0
8189,2,True,0.5,0.5
8173,7,False,0.142857142857143,0.857142857142857
8105,2,False,0,1
7969,2,False,0,1
7967,3,True,0,1
7931,2,False,0.5,0.5
7921,2,True,0,1
7847,4,False,0,1
7491,1,False,0,1
7471,1,False,1,0
7381,2,False,0,1
7339,4,False,0,1
7305,1,False,0,1
7271,1,False,1,0
7195,2,False,0,1
7171,3,False,0.333333333333333,0.666666666666667
6857,1,False,0,1
6735,3,False,0,1
6621,11,False,0.272727272727273,0.727272727272727
6557,2,False,0,1
6501,7,False,0,1
6473,2,True,0,1
6185,8,True,0,1
6089,8,True,0,1
6083,7,False,0.428571428571429,0.571428571428571
6025,1,False,0,1
6013,3,False,0.333333333333333,0.666666666666667
5999,5,False,0.2,0.8
5991,4,False,0.5,0.5
5987,7,False,0.142857142857143,0.857142857142857
5983,2,False,0,1
5977,4,False,0,1
5967,15,False,0.2,0.8
5787,2,False,0.5,0.5
5765,2,False,0,1
5763,3,False,0.666666666666667,0.333333333333333
5735,4,False,0,1
5313,1,False,0,1
5155,1,False,0,1
5137,1,False,0,1
5119,1,False,0,1
4805,2,True,1,0
4799,1,True,1,0
4731,4,True,0.75,0.25
4725,2,True,0.5,0.5
4589,3,False,0.333333333333333,0.666666666666667
4479,1,True,1,0
4473,2,True,1,0
4465,3,True,1,0
4443,1,True,0,1
4349,2,True,0,1
4295,2,False,0,1
4039,5,True,0.8,0.2
4007,4,True,0.75,0.25
3985,3,True,0.666666666666667,0.333333333333333
3947,1,False,1,0
3855,2,False,0,1
3817,11,True,0.363636363636364,0.636363636363636
3723,3,False,1,0
3721,1,False,0,1
3689,3,False,0.333333333333333,0.666666666666667
3161,1,False,0,1
3113,2,False,0,1
3105,4,False,0.5,0.5
3027,3,False,0,1
3001,2,False,1,0
2673,1,False,1,0
2271,2,True,0.5,0.5
1657,3,False,0.666666666666667,0.333333333333333
1543,1,True,1,0
1445,2,True,1,0
1397,2,True,1,0
833,3,False,0,1
659,1,False,0,1
179,2,False,0,1
